"cpu1_frequencia";"cpu1_uso_porcentagem";"ram1_uso_byte";"ram1_uso_porcentagem";"hd1_uso_porcentagem";"gpu1_uso_porcentagem";"gpu1_temperatura";"disco2_uso_porcentagem";"disco2_uso_byte";"isAlerta";"dtHora"
2400.0;16.7;11966900000.0;70.4;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:39"
2400.0;9.6;11962000000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:40"
2400.0;13.2;11960600000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:40"
2400.0;7.8;11961300000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:40"
2400.0;12.4;11960600000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:40"
2400.0;12.5;11964400000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:41"
2400.0;19.8;11959500000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:41"
2400.0;11.7;11959400000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:41"
2400.0;14.8;11960200000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:41"
2400.0;13.3;11957800000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:42"
2400.0;18.8;11956000000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:42"
2400.0;16.9;11956900000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:42"
2400.0;19.0;11957700000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:42"
2400.0;12.4;11961600000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:43"
2400.0;13.3;11958200000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:43"
2400.0;15.3;11959300000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:43"
2400.0;11.7;11959900000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:43"
2400.0;13.2;11963500000.0;70.3;81.5;0.0;54.0;81.5;410448000000.0;0;"2025-04-01 19:42:44"
2400.0;24.2;11960500000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:44"
2400.0;10.9;11962600000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:44"
2400.0;13.2;11965000000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:44"
2400.0;24.3;11962600000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:45"
2400.0;11.6;11959700000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:45"
2400.0;14.5;11959900000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:45"
2400.0;30.4;11967100000.0;70.4;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:45"
2400.0;17.8;11969000000.0;70.4;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:46"
2400.0;28.2;11961500000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:46"
2400.0;33.8;11961800000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:46"
2400.0;27.3;11961700000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:46"
2400.0;15.4;11964900000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:47"
2400.0;15.8;11963000000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:47"
2400.0;17.1;11962500000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:47"
2400.0;38.5;11962700000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:47"
2400.0;10.9;11966200000.0;70.4;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:48"
2400.0;14.0;11962800000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:48"
2400.0;17.7;11964000000.0;70.3;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:48"
2400.0;20.7;11966400000.0;70.4;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:48"
2400.0;27.7;11971500000.0;70.4;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:49"
2400.0;21.1;11967200000.0;70.4;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:49"
2400.0;11.7;11967200000.0;70.4;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:49"
2400.0;54.8;11975900000.0;70.4;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:49"
2400.0;23.3;11913200000.0;70.0;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:50"
2400.0;19.5;11886200000.0;69.9;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:50"
2400.0;5.5;11886800000.0;69.9;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:50"
2400.0;15.0;11885500000.0;69.9;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:50"
2400.0;15.5;11890400000.0;69.9;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:51"
2400.0;9.2;11886700000.0;69.9;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:51"
2400.0;13.1;11887200000.0;69.9;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:51"
2400.0;10.7;11888200000.0;69.9;81.5;0.0;55.0;81.5;410448000000.0;0;"2025-04-01 19:42:51"
